family,group,module,metric_name,zone,side,views,source_spaces,scope,status,catalog_role,function_template,notes
F_orbit,orbit,orbit_special.py,R_temporal_to_zygoma_step_ratio,face,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_brow,brow_lid,brow_lid.py,R_upper_lid_arc_length,face,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,pruned,discrimination,,restored_from_stability_and_identity_config
F_orbit,orbit,orbit_special.py,R_visible_opening_fraction,face,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,pruned,discrimination,,restored_from_stability_and_identity_config
F_mandible,mandible,mandible.py,bigonial_width_ratio,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F0,existing,existing_backend.py,bilateral_center_depth_asymmetry,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F0,existing,existing_backend.py,brow_asymmetry_deg,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,pruned,discrimination,,restored_from_stability_and_identity_config
F_nose,nose,nose_bridge.py,brow_nose_triangle_apex_angle_deg,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,pruned,discrimination,,restored_from_stability_and_identity_config
F_nose,nose,nose_bridge.py,brow_nose_triangle_area_ratio,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_brow,brow_lid,brow_lid.py,brow_orbit_quad_area_ratio,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_brow,brow_lid,brow_lid.py,brow_orbit_quad_diagonal_ratio,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F0,existing,existing_backend.py,brow_ridge_L,brow_ridge_L,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F0,existing,existing_backend.py,brow_ridge_L_arap_deformation_energy,brow_ridge_L,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F7,area_volume,area_volume_convexity.py,brow_ridge_L_bbox_area_ratio,brow_ridge_L,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F7,area_volume,area_volume_convexity.py,brow_ridge_L_bbox_volume_ratio,brow_ridge_L,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F7,area_volume,area_volume_convexity.py,brow_ridge_L_convexity_index,brow_ridge_L,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F0,existing,existing_backend.py,brow_ridge_L_depth_curvature_proxy,brow_ridge_L,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F9,dense_residuals,dense_residuals.py,brow_ridge_L_icp_refined_residual,brow_ridge_L,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,pair,active,both,,restored_from_stability_and_identity_config
F0,existing,existing_backend.py,brow_ridge_L_laplacian_curvature_proxy,brow_ridge_L,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F0,existing,existing_backend.py,brow_ridge_L_normal_gradient_proxy,brow_ridge_L,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F0,existing,existing_backend.py,brow_ridge_L_normal_variance,brow_ridge_L,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F1,distances,distances.py,brow_ridge_L_regional_mean_vertex_distance,brow_ridge_L,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F1,distances,distances.py,brow_ridge_L_regional_median_vertex_distance,brow_ridge_L,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F1,distances,distances.py,brow_ridge_L_regional_p95_vertex_distance,brow_ridge_L,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F9,dense_residuals,dense_residuals.py,brow_ridge_L_regional_signed_normal_displacement_mean,brow_ridge_L,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,pair,active,both,,restored_from_stability_and_identity_config
F9,dense_residuals,dense_residuals.py,brow_ridge_L_regional_signed_normal_displacement_median,brow_ridge_L,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,pair,active,both,,restored_from_stability_and_identity_config
F9,dense_residuals,dense_residuals.py,brow_ridge_L_regional_signed_normal_displacement_p95,brow_ridge_L,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,pair,active,both,,restored_from_stability_and_identity_config
F9,dense_residuals,dense_residuals.py,brow_ridge_L_stable_anchor_unstable_residual,brow_ridge_L,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,pair,active,both,,restored_from_stability_and_identity_config
F7,area_volume,area_volume_convexity.py,brow_ridge_L_surface_area_ratio,brow_ridge_L,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F0,existing,existing_backend.py,brow_ridge_L_tps_bending_energy_proxy,brow_ridge_L,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F0,existing,existing_backend.py,brow_ridge_R,brow_ridge_R,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F0,existing,existing_backend.py,brow_ridge_R_arap_deformation_energy,brow_ridge_R,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F7,area_volume,area_volume_convexity.py,brow_ridge_R_bbox_area_ratio,brow_ridge_R,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F7,area_volume,area_volume_convexity.py,brow_ridge_R_bbox_volume_ratio,brow_ridge_R,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
